#    L    TT             EE             TE             PP             TP          
   159    0.46462E+04    0.10287E+01   -0.45385E+02    0.34936E+07    0.34852E+04
   160    0.46768E+04    0.10203E+01   -0.45196E+02    0.34744E+07    0.34537E+04
   161    0.47071E+04    0.10116E+01   -0.44980E+02    0.34553E+07    0.34225E+04
   162    0.47372E+04    0.10026E+01   -0.44739E+02    0.34364E+07    0.33916E+04
   163    0.47671E+04    0.99327E+00   -0.44472E+02    0.34177E+07    0.33612E+04
   164    0.47966E+04    0.98371E+00   -0.44178E+02    0.33991E+07    0.33310E+04
   165    0.48258E+04    0.97384E+00   -0.43857E+02    0.33806E+07    0.33012E+04
   166    0.48548E+04    0.96382E+00   -0.43509E+02    0.33623E+07    0.32718E+04
   167    0.48836E+04    0.95342E+00   -0.43136E+02    0.33441E+07    0.32427E+04
   168    0.49119E+04    0.94301E+00   -0.42735E+02    0.33261E+07    0.32139E+04
   169    0.49399E+04    0.93229E+00   -0.42306E+02    0.33083E+07    0.31855E+04
   170    0.49675E+04    0.92150E+00   -0.41850E+02    0.32906E+07    0.31574E+04
   171    0.49947E+04    0.91062E+00   -0.41366E+02    0.32730E+07    0.31297E+04
   172    0.50215E+04    0.89958E+00   -0.40854E+02    0.32555E+07    0.31024E+04
   173    0.50479E+04    0.88839E+00   -0.40316E+02    0.32383E+07    0.30754E+04
   174    0.50739E+04    0.87734E+00   -0.39750E+02    0.32211E+07    0.30487E+04
   175    0.50996E+04    0.86614E+00   -0.39155E+02    0.32041E+07    0.30224E+04
   176    0.51247E+04    0.85500E+00   -0.38533E+02    0.31872E+07    0.29964E+04
   177    0.51494E+04    0.84385E+00   -0.37884E+02    0.31705E+07    0.29708E+04
   178    0.51736E+04    0.83292E+00   -0.37207E+02    0.31539E+07    0.29455E+04
   179    0.51974E+04    0.82191E+00   -0.36502E+02    0.31374E+07    0.29206E+04
   180    0.52208E+04    0.81104E+00   -0.35771E+02    0.31211E+07    0.28960E+04
   181    0.52438E+04    0.80031E+00   -0.35012E+02    0.31049E+07    0.28716E+04
   182    0.52662E+04    0.78979E+00   -0.34226E+02    0.30889E+07    0.28476E+04
   183    0.52881E+04    0.77942E+00   -0.33413E+02    0.30729E+07    0.28239E+04
   184    0.53096E+04    0.76927E+00   -0.32573E+02    0.30571E+07    0.28004E+04
   185    0.53307E+04    0.75948E+00   -0.31708E+02    0.30415E+07    0.27772E+04
   186    0.53509E+04    0.74991E+00   -0.30814E+02    0.30259E+07    0.27543E+04
   187    0.53710E+04    0.74071E+00   -0.29895E+02    0.30105E+07    0.27317E+04
   188    0.53905E+04    0.73186E+00   -0.28950E+02    0.29952E+07    0.27093E+04
   189    0.54094E+04    0.72339E+00   -0.27978E+02    0.29800E+07    0.26872E+04
   190    0.54281E+04    0.71537E+00   -0.26982E+02    0.29650E+07    0.26653E+04
   191    0.54460E+04    0.70781E+00   -0.25959E+02    0.29501E+07    0.26436E+04
   192    0.54634E+04    0.70073E+00   -0.24911E+02    0.29352E+07    0.26221E+04
   193    0.54803E+04    0.69419E+00   -0.23839E+02    0.29205E+07    0.26009E+04
   194    0.54967E+04    0.68820E+00   -0.22742E+02    0.29060E+07    0.25798E+04
   195    0.55126E+04    0.68281E+00   -0.21621E+02    0.28915E+07    0.25590E+04
   196    0.55279E+04    0.67805E+00   -0.20475E+02    0.28772E+07    0.25383E+04
   197    0.55427E+04    0.67397E+00   -0.19307E+02    0.28629E+07    0.25179E+04
   198    0.55569E+04    0.67059E+00   -0.18115E+02    0.28488E+07    0.24976E+04
   199    0.55707E+04    0.66795E+00   -0.16901E+02    0.28348E+07    0.24774E+04
   200    0.55839E+04    0.66608E+00   -0.15664E+02    0.28209E+07    0.24574E+04
   201    0.55965E+04    0.66504E+00   -0.14405E+02    0.28071E+07    0.24376E+04
   202    0.56086E+04    0.66483E+00   -0.13124E+02    0.27934E+07    0.24179E+04
   203    0.56200E+04    0.66551E+00   -0.11821E+02    0.27798E+07    0.23984E+04
   204    0.56309E+04    0.66712E+00   -0.10500E+02    0.27663E+07    0.23790E+04
   205    0.56411E+04    0.66968E+00   -0.91567E+01    0.27529E+07    0.23597E+04
   206    0.56507E+04    0.67325E+00   -0.77936E+01    0.27396E+07    0.23406E+04
   207    0.56598E+04    0.67785E+00   -0.64110E+01    0.27265E+07    0.23217E+04
   208    0.56681E+04    0.68352E+00   -0.50094E+01    0.27134E+07    0.23028E+04
   209    0.56758E+04    0.69029E+00   -0.35891E+01    0.27004E+07    0.22842E+04
   210    0.56830E+04    0.69821E+00   -0.21510E+01    0.26876E+07    0.22656E+04
   211    0.56895E+04    0.70731E+00   -0.69524E+00    0.26748E+07    0.22472E+04
   212    0.56952E+04    0.71763E+00    0.77729E+00    0.26621E+07    0.22290E+04
   213    0.57005E+04    0.72920E+00    0.22666E+01    0.26495E+07    0.22108E+04
   214    0.57050E+04    0.74202E+00    0.37715E+01    0.26371E+07    0.21928E+04
   215    0.57090E+04    0.75629E+00    0.52913E+01    0.26247E+07    0.21750E+04
   216    0.57122E+04    0.77182E+00    0.68264E+01    0.26124E+07    0.21573E+04
   217    0.57150E+04    0.78877E+00    0.83749E+01    0.26002E+07    0.21397E+04
   218    0.57170E+04    0.80713E+00    0.99369E+01    0.25881E+07    0.21222E+04
   219    0.57185E+04    0.82690E+00    0.11513E+02    0.25761E+07    0.21049E+04
   220    0.57194E+04    0.84825E+00    0.13100E+02    0.25642E+07    0.20877E+04
   221    0.57196E+04    0.87109E+00    0.14699E+02    0.25523E+07    0.20707E+04
   222    0.57193E+04    0.89556E+00    0.16309E+02    0.25406E+07    0.20537E+04
   223    0.57182E+04    0.92161E+00    0.17930E+02    0.25289E+07    0.20369E+04
   224    0.57166E+04    0.94922E+00    0.19559E+02    0.25174E+07    0.20203E+04
   225    0.57144E+04    0.97856E+00    0.21199E+02    0.25059E+07    0.20037E+04
   226    0.57115E+04    0.10096E+01    0.22846E+02    0.24945E+07    0.19873E+04
   227    0.57080E+04    0.10424E+01    0.24501E+02    0.24832E+07    0.19710E+04
   228    0.57040E+04    0.10769E+01    0.26163E+02    0.24720E+07    0.19548E+04
   229    0.56993E+04    0.11131E+01    0.27831E+02    0.24608E+07    0.19388E+04
   230    0.56940E+04    0.11512E+01    0.29506E+02    0.24498E+07    0.19229E+04
   231    0.56880E+04    0.11912E+01    0.31186E+02    0.24388E+07    0.19071E+04
   232    0.56814E+04    0.12329E+01    0.32869E+02    0.24279E+07    0.18914E+04
   233    0.56743E+04    0.12767E+01    0.34556E+02    0.24171E+07    0.18758E+04
   234    0.56663E+04    0.13223E+01    0.36246E+02    0.24064E+07    0.18604E+04
   235    0.56579E+04    0.13699E+01    0.37937E+02    0.23957E+07    0.18451E+04
   236    0.56488E+04    0.14194E+01    0.39631E+02    0.23851E+07    0.18299E+04
   237    0.56391E+04    0.14710E+01    0.41324E+02    0.23746E+07    0.18148E+04
   238    0.56287E+04    0.15246E+01    0.43018E+02    0.23642E+07    0.17998E+04
   239    0.56179E+04    0.15802E+01    0.44712E+02    0.23539E+07    0.17849E+04
   240    0.56063E+04    0.16378E+01    0.46403E+02    0.23436E+07    0.17702E+04
   241    0.55942E+04    0.16976E+01    0.48092E+02    0.23334E+07    0.17556E+04
   242    0.55815E+04    0.17594E+01    0.49778E+02    0.23233E+07    0.17410E+04
   243    0.55682E+04    0.18234E+01    0.51460E+02    0.23132E+07    0.17266E+04
   244    0.55543E+04    0.18895E+01    0.53139E+02    0.23032E+07    0.17123E+04
   245    0.55398E+04    0.19577E+01    0.54811E+02    0.22933E+07    0.16981E+04
   246    0.55248E+04    0.20282E+01    0.56479E+02    0.22834E+07    0.16841E+04
   247    0.55092E+04    0.21007E+01    0.58139E+02    0.22737E+07    0.16701E+04
